incident_date,route,ccil,narrative,found_location,latitude,longitude,postcode
2020-02-07,Eastern (Anglia),CCIL 2090327 ,"At 1137 the driver of 6V12, Freightliner, 1054 Chelmsford – Acton Yard, reported a possible dragging brakes on the second and third vehicles back from the locomotive, VTG3457 and VTG3424. The train was held in the Channelsea Loop to allow the driver to examine the train, trapping a number of freight services in rear. A Mobile Operations Manager and fitters were sent to site. 4E25, DB Cargo, 1129 Bow Depot – Heck, which was trapped in rear on the Down Temple Mills line, was moved to the Temple Mills Loop to run round and clear the running lines. By 1213 the driver had been able to release one set of brakes but was unable to release a second set. The fitter arrived on site at 1426 and was able to isolate the affected wagon, allowing the train to continue, 189 mins late.",Eastern (Anglia),,,
2020-02-07,Eastern (Anglia),CCIL 2090096 ,"Fault No.304918 / At 0144, the SCO:24/7 Duty Manager reported that Balfour Beatty Tamper DR75409 had derailed within engineer’s possession as per AR WON 45, Item 278, various lines including Beccles – Oulton Broad North Junction, Up and Down East Suffolk line blocked 0025 (Mon) – 2359 (Fri), a Network Operations Anglia managed possession. The tamper became derailed by two bogies on No.12A points at Oulton Broad North Junction. There were no injuries reported. BRUFF were requested to attend and gave an ETA of 0530. There was damage to twelve sleepers, 20 chairs and 20 keys that all required replacement. Initial investigations revealed that the rodding from the points had been removed by a member of staff and they had not reapplied the clip, scotch and padlock. Two members of staff, the Engineering Supervisor and their support staff were relieved of duty for ‘for cause’ screening. BRUFF arrived on site at 0545. An Investigating Officer was appointed. The original BRUFF team were out of hours before rerailing had been completed with a replacement team attending, with an ETA of 1200. By 1325 the majority of the track damage had been repaired. Rerailing and track damage was completed by 1625 with the affected tamper removed from site. The points have been secured and will be repaired within the possession.",Oulton Broad North,52.47777986,1.715729717,NR32 3LJ
2020-02-07,Eastern (East Coast),CCIL 2090188 ,"Fault No. 786818 / At 0719, the driver of 5F46, Northern, 0618 Leeds Holbeck Sidings – Goole, reported that they had observed that 6X95, DB Cargo, Scunthorpe – Goole Docks had derailed on the shunt spur within the sidings at Goole Docks. DB Cargo advised at 0737 that the last bogie of the rear wagon, IGA 8046470260 by consist, had derailed. A Mobile Operations Manager arrived on site at 0759 and confirmed at 0840 that the derailment had occurred on NR infrastructure. The cause was due to 6X95 propelling towards and colliding with the buffer stops on the No. 2 Shunt Spur. DB Cargo arranged for the driver of 6X95 to be ‘for cause’ screened. The Wigan BRUFF team were requested to attend, arriving on site at 1437. Work to re- rail the wagon commenced at 1738 and was completed by 1832. The Mobile Operations Manager confirmed that the No. 2 Shunt Spur had been secured out of use pending repairs, and that the Loop had reopened. Traffic for Goole Docks has been suspended until Thursday 13/02/20.",Goole,53.70492908,-0.874218535,DN14 5DD
2020-02-07,Eastern (East Coast,CCIL 2090440 ,"At 1603 Govia Thameslink Railway reported that 9S34, Govia Thameslink Railway, 1338 Brighton – Cambridge formed by unit 700121 comprising 12 coaches, had stopped at the 8 instead of the 12 car marker at Letchworth station. This was reported via a passenger on a helpline to Govia Thameslink Railway. Govia Thameslink Railway checked the CCTV and confirmed the incident. The CCTV did not confirm if the doors off the platform were opened and the driver did not report the incident. No passenger incidents were reported. The information was not known in time to stop the train at a suitable location. The driver was met by a manager upon arrival at Cambridge. GTR informed the signaller, who confirmed they had not been notified. The driver was relieved of duty and ‘for cause’ screened.",Letchworth,51.980721,-0.227677,SG6 3WA
2020-02-07,North West and Central (NW),CCIL 2090049 ,At 0015 (Thu) it was reported that a member of track staff had sustained an injury to their groin area after tripping over old cable at Parton. The staff member was conveyed to hospital and had their injuries assessed. The staff member was discharged from hospital with pain medication.,Parton,54.56990389,-3.582020124,CA28 6PA
2020-02-07,Eastern (EM),CCIL 2090489 ,"At 1745 the driver of 0R58, Rail Operations Group, 1559 Worksop – Leicester, reported a near miss at Pinxton CCTV Level Crossing between Kirby Junction and Ironville Junction with a dog walker using the crossing. The driver sounded their horn and came to a stand after making an emergency braking application one locomotive from the individual. The person was then observed to leave the crossing. The driver was fit to continue. A Mobile Operations Manager attended, reporting at 2144 that all crossing equipment was in order. The BT Police (ref. 458) were advised.",Pinxton,53.085692,-1.313666,G16 6RA
2020-02-07,Southern (Sussex),CCIL 2090500 ,"At 1830 the driver of 2B13, Govia Thameslink Railway, 1809 Epsom Downs – London Victoria, retrospectively reported a near miss on their previous working 2B02, Govia Thameslink Railway, 1700 London Victoria – Epsom Downs at Belmont with a youth that attempted to surf on the side of the train. The person jumped back onto the platform after the driver had shouted at them. The driver was shaken by the incident but was fit to continue. CCTV footage was interrogated which substantiated the drivers report. The EIU confirmed the area clear at 1928.",Belmont,51.34413926,-0.19948720600000006,SM2 6BH
2020-02-07,North West and Central (C),CCIL 2090301 ,"At 1019, the driver of 1S39, CrossCountry, 0627 Plymouth – Glasgow Central, reported a person sitting on the track at Tamworth Viaduct. Two Mobile Operations Managers were requested to site at 1025. Staffordshire Police reported at 1032 that the area was clear, but trains were instructed to run at extreme caution. However, at 1051 West Midlands Signalling Centre reported that the person was now sitting in the six foot refusing to move. In response, all lines were blocked, with some services were diverted via the Cross City line. The BT Police Embedded Inspector (ref. 152), reported at 1117 that the person was the wrong side of the parapet on the viaduct and was threatening to jump onto Amington Road should anyone approach them. A negotiator was requested to site. Staffordshire Police and the BT Police were on site with the person at 1118, with a working at heights team mobilised to site. By 1152, the person had been coaxed down and all personnel were clear of the lines, thus allowing train running to resume.",Tamworth,52.63712963,-1.687269406,B79 7JT
2020-02-07,Wales and Western (Western),CCIL 2090507 ,"At 1907 the driver of 1C22, Great Western Railway, 1632 London Paddington – Taunton, reported a trespasser lineside between Worle Junction and Weston Milton on the Single line. 2U28, Great Western Railway, 1808 Taunton – Cardiff Central was utilised to examine the line, with the driver reporting at 1915 that they had come to a stand on the Single line approaching Worle Junction as the person was in front of the service. Multiple services were trapped, two of which were outside of station (detailed in section 07 of this Report), with the Bristol Mobile Operations Manager, Avon & Somerset Police (ref. 977) and the BT Police (ref. 504) all mobilised to site. The guard of 2U28 remained with the person until response staff arrived on site. By 1940 the person had been apprehended, with trains signalled normally from 1948 after it was confirmed that all personnel were clear of the line.",Worle,51.35803344,-2.909638886,BS22 6WA
2020-02-07,Southern (Kent),CCIL 2090454 ,"At 1600 2U58, Southeastern, 1550 Gravesend – London Victoria, formed by unit 465249 & 465164, comprising eight coaches in all, overran Greenhithe for Blue Water station by half a metre, returning to the station was not authorised. The driver stated that the overrun was due to misjudging the braking distance, with the service terminated and driver relieved of duty on arrival at Dartford.",Dartford,51.44737254,0.219261557,DA1 1BP
2020-02-07,North West and Central (C),CCIL 2090487 ,"At 1743 1W51, Chiltern, 1734 Marylebone – High Wycombe,  formed by units 165002 & 165027, comprising four coaches in all, overran Wembley Stadium station by two coach lengths, returning to the station was not authorised. The driver stated that the overrun was due to misreading the diagram and believed their first stop was Gerrards Cross. The driver was fit to continue.",North West and Central (C),,,
